iter	Passed	Remaining
895	14762	67615
896	14778	67597
897	14795	67582
898	14810	67563
899	14827	67545
900	14842	67526
901	14859	67509
902	14906	67632
903	14952	67751
904	14982	67794
905	15001	67789
906	15022	67792
907	15038	67774
908	15054	67751
909	15069	67731
910	15084	67705
911	15099	67680
912	15113	67655
913	15128	67633
914	15143	67607
915	15157	67581
916	15172	67556
917	15187	67532
918	15201	67505
919	15215	67478
920	15231	67458
921	15247	67437
922	15263	67418
923	15279	67399
924	15295	67380
925	15311	67362
926	15331	67364
927	15351	67361
928	15371	67361
929	15388	67345
930	15404	67326
931	15420	67308
932	15436	67288
933	15452	67271
934	15469	67254
935	15485	67235
936	15502	67221
937	15518	67204
938	15535	67187
939	15551	67167
940	15567	67150
941	15583	67130
942	15599	67113
943	15616	67098
944	15633	67082
945	15648	67062
946	15665	67044
947	15681	67026
948	15697	67009
949	15714	66991
950	15730	66975
951	15747	66958
952	15763	66940
953	15779	66920
954	15795	66902
955	15811	66885
956	15827	66866
957	15843	66848
958	15859	66828
959	15875	66810
960	15891	66790
961	15907	66769
962	15923	66751
963	15939	66734
964	15954	66711
965	15970	66692
966	15986	66675
967	16003	66657
968	16025	66665
969	16043	66654
970	16059	66634
971	16075	66619
972	16093	66604
973	16108	66584
974	16124	66566
975	16140	66547
976	16156	66528
977	16172	66508
978	16187	66486
979	16203	66467
980	16218	66446
981	16235	66430
982	16252	66413
983	16268	66395
984	16284	66375
985	16300	66357
986	16315	66335
987	16331	66317
988	16347	66298
989	16367	66297
990	16390	66304
991	16408	66295
992	16423	66274
993	16440	66260
994	16457	66243
995	16473	66225
996	16489	66207
997	16505	66185
998	16521	66169
999	16538	66153
1000	16553	66131
1001	16569	66112
1002	16584	66091
1003	16601	66074
1004	16617	66056
1005	16633	66038
1006	16649	66020
1007	16664	65998
1008	16680	65979
1009	16697	65962
1010	16713	65943
1011	16728	65924
1012	16744	65903
1013	16760	65883
1014	16775	65863
1015	16791	65844
1016	16806	65822
1017	16822	65803
1018	16839	65787
1019	16855	65769
1020	16872	65753
1021	16887	65734
1022	16904	65716
1023	16921	65703
1024	16937	65685
1025	16954	65668
1026	16970	65651
1027	16986	65632
1028	17002	65613
1029	17021	65607
1030	17040	65601
1031	17056	65583
1032	17072	65563
1033	17088	65542
1034	17103	65522
1035	17120	65505
1036	17135	65486
1037	17152	65469
1038	17169	65454
1039	17184	65434
1040	17200	65416
1041	17217	65400
1042	17233	65380
1043	17248	65360
1044	17264	65340
1045	17279	65319
1046	17295	65299
1047	17311	65279
1048	17327	65264
1049	17344	65248
1050	17360	65228
1051	17376	65210
1052	17392	65191
1053	17414	65195
1054	17435	65198
1055	17452	65180
1056	17467	65161
1057	17483	65142
1058	17500	65126
1059	17516	65109
1060	17533	65092
1061	17549	65075
1062	17565	65056
1063	17581	65036
1064	17596	65017
1065	17613	65002
1066	17630	64986
1067	17646	64968
1068	17661	64947
1069	17677	64927
1070	17692	64906
1071	17708	64887
1072	17725	64871
1073	17740	64852
1074	17757	64834
1075	17773	64816
1076	17789	64798
1077	17806	64783
1078	17822	64764
1079	17838	64747
1080	17853	64725
1081	17869	64706
1082	17884	64685
1083	17902	64673
1084	17917	64653
1085	17934	64635
1086	17950	64616
1087	17966	64600
1088	17982	64582
1089	18001	64573
1090	18017	64556
1091	18041	64565
1092	18056	64545
1093	18074	64531
1094	18090	64513
1095	18105	64493
1096	18122	64476
1097	18138	64459
1098	18155	64442
1099	18171	64425
1100	18188	64410
1101	18204	64392
1102	18220	64375
1103	18236	64357
1104	18253	64340
1105	18268	64321
1106	18284	64302
1107	18301	64286
1108	18318	64269
1109	18333	64250
1110	18348	64228
1111	18364	64210
1112	18381	64194
1113	18398	64178
1114	18413	64159
1115	18430	64142
1116	18450	64139
1117	18473	64143
1118	18489	64124
1119	18504	64106
1120	18521	64089
1121	18537	64072
1122	18553	64054
1123	18569	64033
1124	18584	64014
1125	18601	63997
1126	18617	63979
1127	18633	63962
1128	18649	63943
1129	18666	63927
1130	18682	63910
1131	18697	63890
1132	18713	63871
1133	18730	63854
1134	18746	63835
1135	18762	63819
1136	18778	63800
1137	18794	63783
1138	18810	63765
1139	18827	63748
1140	18843	63731
1141	18860	63715
1142	18876	63699
1143	18892	63679
1144	18908	63661
1145	18925	63647
1146	18941	63627
1147	18957	63608
1148	18972	63587
1149	18988	63570
1150	19004	63551
1151	19023	63542
1152	19043	63539
1153	19059	63519
1154	19075	63502
1155	19091	63482
1156	19106	63463
1157	19122	63444
1158	19138	63427
1159	19155	63411
1160	19172	63395
1161	19188	63379
1162	19204	63360
1163	19220	63342
1164	19236	63324
1165	19253	63309
1166	19269	63289
1167	19285	63272
1168	19301	63255
1169	19317	63235
1170	19332	63215
1171	19348	63197
1172	19365	63180
1173	19380	63160
1174	19397	63143
1175	19412	63122
1176	19428	63106
1177	19444	63088
1178	19461	63072
1179	19481	63067
1180	19504	63071
1181	19522	63059
1182	19538	63041
1183	19554	63023
1184	19570	63005
1185	19585	62985
1186	19602	62970
1187	19618	62951
1188	19634	62932
1189	19650	62914
1190	19665	62894
1191	19682	62878
1192	19698	62861
1193	19715	62844
1194	19731	62826
1195	19747	62809
1196	19763	62790
1197	19779	62772
1198	19795	62753
1199	19812	62738
1200	19829	62723
1201	19845	62707
1202	19862	62690
1203	19879	62677
1204	19896	62661
1205	19911	62638
1206	19925	62615
1207	19939	62592
1208	19954	62570
1209	19968	62547
1210	19991	62549
1211	20009	62536
1212	20024	62516
1213	20040	62498
1214	20056	62480
1215	20072	62462
1216	20088	62444
1217	20104	62426
1218	20120	62407
1219	20136	62388
1220	20152	62370
1221	20168	62354
1222	20185	62338
1223	20201	62321
1224	20217	62304
1225	20234	62286
1226	20250	62269
1227	20266	62250
1228	20281	62230
1229	20296	62209
1230	20312	62192
1231	20329	62175
1232	20345	62158
1233	20362	62144
1234	20378	62126
1235	20394	62107
1236	20410	62089
1237	20425	62069
1238	20441	62049
1239	20457	62031
1240	20482	62040
1241	20500	62030
1242	20516	62012
1243	20532	61992
1244	20548	61975
1245	20565	61959
1246	20582	61945
1247	20598	61926
1248	20613	61907
1249	20630	61891
1250	20647	61875
1251	20662	61855
1252	20678	61837
1253	20694	61818
1254	20709	61799
1255	20725	61781
1256	20742	61764
1257	20757	61745
1258	20773	61725
1259	20789	61708
1260	20804	61689
1261	20821	61672
1262	20837	61655
1263	20854	61638
1264	20870	61620
1265	20886	61603
1266	20902	61585
1267	20918	61567
1268	20935	61552
1269	20956	61548
1270	20973	61533
1271	20997	61540
1272	21014	61524
1273	21029	61505
1274	21046	61489
1275	21062	61471
1276	21078	61453
1277	21095	61437
1278	21112	61421
1279	21128	61403
1280	21144	61387
1281	21160	61369
1282	21177	61353
1283	21193	61336
1284	21209	61318
1285	21225	61300
1286	21242	61283
1287	21257	61262
1288	21273	61244
1289	21289	61227
1290	21304	61207
1291	21320	61188
1292	21336	61171
1293	21353	61157
1294	21370	61140
1295	21386	61121
1296	21401	61103
1297	21417	61085
1298	21433	61067
1299	21449	61049
1300	21465	61031
1301	21481	61013
1302	21502	61008
1303	21524	61009
1304	21544	61001
1305	21560	60983
1306	21576	60966
1307	21592	60948
1308	21608	60929
1309	21624	60911
1310	21640	60893
1311	21655	60873
1312	21672	60858
1313	21688	60839
1314	21704	60822
1315	21720	60804
1316	21737	60788
1317	21753	60771
1318	21769	60753
1319	21785	60734
1320	21801	60718
1321	21818	60702
1322	21834	60684
1323	21851	60669
1324	21867	60651
1325	21882	60631
1326	21899	60615
1327	21915	60597
1328	21931	60578
1329	21946	60559
1330	21962	60542
1331	21978	60523
1332	22000	60521
1333	22016	60504
1334	22032	60485
1335	22048	60469
1336	22065	60453
1337	22082	60437
1338	22099	60421
1339	22115	60403
1340	22131	60386
1341	22146	60367
1342	22162	60347
1343	22178	60330
1344	22194	60313
1345	22210	60294
1346	22226	60278
1347	22243	60262
1348	22259	60244
1349	22275	60227
1350	22291	60208
1351	22307	60191
1352	22323	60173
1353	22339	60156
1354	22355	60137
1355	22371	60119
1356	22387	60101
1357	22403	60082
1358	22419	60065
1359	22435	60048
1360	22451	60030
1361	22467	60013
1362	22484	59996
1363	22500	59978
1364	22516	59962
1365	22538	59959
1366	22562	59963
1367	22581	59952
1368	22596	59932
1369	22612	59915
1370	22628	59897
1371	22644	59878
1372	22660	59860
1373	22675	59842
1374	22691	59823
1375	22709	59809
1376	22725	59793
1377	22742	59776
1378	22758	59760
1379	22774	59741
1380	22790	59723
1381	22806	59706
1382	22823	59689
1383	22841	59678
1384	22857	59660
1385	22873	59641
1386	22889	59624
1387	22906	59608
1388	22922	59592
1389	22938	59575
1390	22955	59557
1391	22971	59541
1392	22993	59539
1393	23011	59526
1394	23027	59508
1395	23043	59491
1396	23060	59475
1397	23077	59458
1398	23093	59441
1399	23109	59425
1400	23125	59407
1401	23142	59390
1402	23158	59373
1403	23174	59355
1404	23190	59338
1405	23206	59321
1406	23223	59305
1407	23240	59289
1408	23257	59274
1409	23273	59256
1410	23289	59239
1411	23306	59222
1412	23321	59203
1413	23337	59186
1414	23353	59168
1415	23370	59151
1416	23386	59134
1417	23401	59115
1418	23418	59098
1419	23433	59078
1420	23449	59061
1421	23465	59044
1422	23481	59026
1423	23498	59009
1424	23514	58991
1425	23531	58976
1426	23547	58960
1427	23564	58943
1428	23585	58937
1429	23606	58932
1430	23621	58914
1431	23637	58895
1432	23654	58880
1433	23670	58863
1434	23686	58845
1435	23702	58828
1436	23718	58810
1437	23735	58793
1438	23751	58777
1439	23768	58761
1440	23784	58744
1441	23800	58726
1442	23816	58708
1443	23832	58691
1444	23849	58673
1445	23865	58657
1446	23881	58638
1447	23897	58622
1448	23913	58604
